review,sentiment
"I heard about this airline so I called them. Twice they hung up on me. I guess you're only allowed to ask one question. Well they just saved me from flying with an unprofessional company. So thanks. I will never fly this airline. I did not fly with them. However, they would not allow me to write a review without stating a flight.Just plan rude.",Negative
Flight size and type is better than any other domestic airlines of Bangladesh. Service is good. I will say professional. They don't have flight in all the domestic routes. But they seem to be the best in Bangladesh.Food may be improved.,Positive
"I did not know about this airline till the travel date and the ticket was arranged by my office. But I was pleasantly surprised by their services, the speed at which boarding was completed, luggages delivered or punctuality. The flight was actually coming from Muscat to Dhaka via Chattogram.Will surely recommend. Cheap fair and a Boeing 737. It was a good deal as well.",Positive
"PROS: good flight schedule, comprehensive online booking interface, serve a snack on the flight no matter how short.CONS: Flights often leave 20+ min late, plane interiors are FILTHY.",Mixed
"It ia an average airline to fly,recently they are not maintaining time.In flight entertainment is poor.Check in service is good",Mixed
In this pandemic situation just eleventh hour you guys notifying that flight will be delayed 1 hour. BAS*****!!Â Toder mamar bari ai desh ta. Kuttar bacchar dhol.,Negative
"This is my latest experience since Novoair change their logo pattern and inclusion of new aircrafts. Although I was not very pleased with my previous experience but this time it was like wind of change despite COVID situation. The flight was clean, new booking system was close to perfect and the cabin crew was very cordial and professional so was the expert pilot. It was really a comfortable flight experience.",Positive
"Tried to pay online several times for a booking. Their online Card payment gateway seems to be broken; it goes blank right after submitting the OTP. I've tried from Chrome, Edge and Explorer browsers, so it can't be a browser issue. And to get help, I've called their helpline innumerable times and tried connecting to an operator; but every-time they disconnect after keeping the line engaged for a while. So on top of poor payment gateway, their customer service brings full circle to a terrible experience. I deduce they are flush with business, otherwise who would jeopardize the future of their business with such pathetic service.",Negative
It was really a great experience for me to visit by NOVOAIR. I really enjoyed and it was excellent :D,Positive
It was one of longest domestic return flight from dhaka. One of the safest track record in the airline business in Bangladesh. Took the last flight both way. Takes about 45 minutes to reach. Neat and clean. Well trained and professional cabin crew. Serves refreshment on the flight.,Positive
We had a 6 hour delay as well as terrible food experience my parents were suffering problems and almost divorced I had suffered ptsd and this will be my last flight with them in my life!,Negative
Worst flight I have ever taken in my life my mother and father almost divorced and were suffering ptsd problems because of this,Negative
I have booked a ticket through biman website but unfortunately i do have to change my dates but the website was not letting me change the flying date then I decided to book a new ticket and refund the current one I cancel my ticket and requested for my refund they gave me an email saying i will receive my refund with in 15 days but now its more than a month i havnt receive my refund there refund policy is completely useless specialy there online sector they have to develop their online services i am facing a big hassle for my online ticket i will recommend not to try their online services i would like advise biman bangladesh management team to kindly give attention to their online services and give their coustomer a quality service I have fly with biman many times never had a proman before,Negative
"When me and my husband went to airport for Biman to travel to Kualalumpur from Dhaka, we heard that the plane has left , we were there before 2 hours of the flying time. So we wanted to talk to somebody about what to do, but nobody was there, so I called a friend who was an employee of Biman ( Lawyer) , as she heard my problem, she started misbehaving and shouting with ill manner. We were just confused about what to do, then my husband talked to a man in the airport and that man managed the Malaysian airline to take us to KL.. Again, on the Biman after a year while travelling from KL to Dhaka our suitcase was cut and important and expensive things were stolen. Everytime the AC in the flight does not work, the cabin crew behave strange, the food is below quality. Not only the flight, the airport is also filthy with strange smell and unwanted people, the floor of the Dhaka airport is like a bus station of old days.",Negative
Brilliant flight FROM lhr to dac by Boeing 787-9 food are delicious and even spicy toilet look even clean and powerful internet so fly BIMAN BANGLADESH at London to dhaka on BG202,Positive
It has WIFI on Dreamliner cabin crew are kind and friendly food was delicious Please fly BIMAN on Dreamliner At lhr to dad they will kind you,Positive
Actually i flied with BG several time . It always fascinated me becoz the pilot skill was too much .. i even flied with other star like airlines but flying level of BG made me feel like wow . Felt safe smooth and super exciting ..,Positive
Really enjoyed the flight.The staff were friendly. The flights on time..a bit early I think...fantastic!,Positive
"I was just wondering whats the point of submitting feedback to Biman and its authority since this may not go any further and on the other hand do they even do anything with the feedback that they receive. Despite all my views and thoughts I still believe it is my duty to share my disappointment and disturbance that it caused me and my family through this recent flight/journey with Biman through this feedback process. Worse come to worse I will raise this with Aviation Authority if needed. I would like Biman management to understand that passengers won't waste time and effort without a valid reason to do so, surely everyone has better things to do in life. It upsets me and loads of others like myself is that you get treated like animals from your own people despite spending the extortionate amount of money to travel with Biman, clearly Biman being monopoly player serving direct flight to Sylhet and taking advantage of all Sylhety travelers. Coming to my main feedback from my recent flight from Sylhet to Dhaka and then Dhaka to London Heathrow on 16/01/20 and then on 17/01/20. As usual the flight was delayed first by half an hour then by 1 hour and 25 minutes from Sylhet to Dhaka flight. From Dhaka airport to the hotel for overnight stay was unbearable experience. I had to wait outside the airport for almost an hour with my kids for bus/car where we were bitten by mosquitoes, dehydrated, hungry and really vulnerable. Where hotel representative kept on saying to us that the bus will be here within next 10 minutes even though we had to wait for almost an hour. But all of us were thinking that some how we need to get to the hotel where we all have a good rest and freshenup  Eventually, when we reached the hotel ""Hotel Platinum, in Uttara"" unfolded our biggest surprise. The room that was allocated to 6 of us seemed like staff quarters, dirty, blankets had blood spots on and a smelly bathroom. My kids could not sleep because of bed bugs and mosquitoes (I have taken pictures of all as evidence). As we were all hungry, first thing I've asked is that when would the dinner be served and if I can see the owner or the hotel manager. This is to raise my concern which I did later on  In terms of dinners/servings, this was very limited amount of food, only rice, chicken curry, dall and vegetable bhaji. Clearly not a lot on offer and clearly it felt that we were forcing the attendants for after meal tea refreshment which came at a cost of 50 Taka for 4 cups On the day flight we have been escorted out of the room 2 hours early and had to wait in the lobby Flight attendants from Dhaka to London Heathrow were rude and felt like that they do not have any manners, clearly treating us like a mole. One point when they were serving drinks where I had 2 of my kids were sitting beside me where I was asking them what drink were they having because they taking latterly more 20-25 seconds but we were told to hurry up and this point I said WHAT! and the respond I get was that they have other passengers to serve which I totally get but for GOD SAKE! They are kids. I'm sure they won't treat their kids like that. On the other hand they don't even ask what we were going to have as a meal instead they were forcing chicken curry and rice which we did not prefer. Clearly their seems to be a language barrier which I get but they do not pose any manners let alone they would have customer service knowledge In the best interest of Biman's success and reputation, hope something is being done",Negative
"Very poor service. I wouldnâ€™t recommend Bangladesh Biman to anyone after what happened to us. Was made to sit in our seats with someoneâ€™s poo in the aisle covered with a newspaper sheet as the staff werenâ€™t mothered you clean it. This then spread along the entire aisle as people were stepping on it and moving it everywhere with their feet. Plus when you press the bell for them to come, they ignore it and you have to get up and go and get them. Disgusting service! Not forgetting to mention the hotel that they made us stay at in Dhaka as our flight was the next day. The hotel called White Rose was dirty, hair all over the bedcovers, floor looked like it hadnâ€™t been sweeped for days and the fan switch wouldnâ€™t work so we were stuck with our three children including our 6 month baby with a fan that went at full speed and wouldnâ€™t turn down. When we tried to turn it off, the mosquitoes were biting the heâ€™ll out of us. They only spray aerosol so they didnâ€™t even have solutions for this other than that!",Negative
Excellent service. Crew services are very helpful. Fare is very reasonable. Departed in time and reached its destination in over 10 hours.,Positive
The flight is long at around 10 hours and there always seems to be a delay on the return leg (triangular flight coming via Dhaka). The flight attendants are generally helpful and polite and the standard of the planes are reasonable. Would be ideal if there was a direct flight from Newcastle for passengers traveling from the north east of England. Overall not a bad experience and would probably choose this flight option again.,Positive
"One of the worst in flight service.Very unfriendly crews,no smile,no greetings.Overall very poor service.Inside was full of mosquitos.",Negative
The whole experience with Biman on their new service from Manchester direct to Sylhet was exceptional to say the least. I was very pleased and impressed with the cabin crew who delivered a great service throughout the entire journey. The aircraft was new and the journey time of 9 hours was bearable and enjoyable. Great food was served with a chicken curry once we were settled in. We had breakfast just before we landed. This is a great opportunity for Biman to impress which will keep people flying this convenient direct route to Sylhet for us who live in the north. Keep it up Biman!,Positive
Excellent service very comfortable all round was very enjoyable will travel with Biman Bangladesh airlines again!,Positive
"I regularly fly business class on Emirates, BA, Etihad and Turkish AirlinesThis was every bit as good. The plane was probably the newest plane Iâ€™ve ever been on. Brand new 787. I couldnâ€™t find a mark or a scuff. The seat was full lie flat and the layout was better than my recent flight with BA from LHR to Islamabad. The screen size was good. The food from LHR was amongst the best Iâ€™ve had. Succulent lamb shank with boiled potatoes. Just perfect. Return flight food was far less impressive and they have a problem with mosquitos on the return flight (same problem last year)Considering where Biman ranks in international airlines, I couldnâ€™t really fault it except to say their on board entertainment is poor. The choice of films is very limited although I did find one or two decent ones in the end.",Positive
This airlines does not maintain time. Even if they change flight times they never inform passengers. On the other hand pilots are extremely skilled. You wil hardly feel an aircraft landing!,Mixed
"I went Bangladesh for 1 month from London Heathrow to Sylhet. One thing Biman needs to improve on is to have more direct flights especially from Sylhet to London Heathrow because I had to go to Dhaka and stay there overnight at a disgusting hotel. Anyways I survived there and then it was my long-haul flight from Dhaka to London Heathrow (11 hours). We took the new Biman 787-9 which was really good. The seats were very comfortable and the windows now have tints instead of the previous window shades. One problem was that because it was a new plane, they didnâ€™t set the IFE screen which meant there was no flight entertainment which was was a shame since it was a morning flight and everyone was awake. However they still operate a flight live map which will satisfy me but definitely not the kids. Our plane was delayed by 2 hours which i don't really mind but however the kids... I landed in London in the will of Allah but I still did enjoy the flight. If they set everything up then the flight would've been a much more pleasant experience.",Mixed
"I have to say the last time i travelled with Biman was in 2004 so after 16 years, I was brave enough to try again. Travelled business class on one of the new aircrafts and it was just an amazing experience. Very comfy, clean, service was excellent and the food was delicious. The entertainment package could have been better as itâ€™s had old and small selection of movies. No WiFi on board.I heard the economy seats are very cramped, food was ok and the entertainment system wasnâ€™t working but some passengers did get iPads to use.",Positive
"Best connection to London from Dhaka. Biman just introduced the brand new 787-9 on this route. Excellent business class seats, full bed with good screen size. Individual seating configuration 1-2-1 in business class. It has also 21 premium economy class, quite good given the price. Overall service was excellent. Highly recommend to fly Biman........ ",Positive
Traveled in Biman after long. Experience was better than I expected. Unfortunately I flew in one of the leased air crafts of Biman with little leg space and no in flight entertainment. Food was tasty and crew service was good.,Mixed
"I traveled several times in recent years using Biman and almost each time received good services. Good food, good seating arrangements and comparatively a better ground services. Staffs on board are just OK though. Ground staffs should be more courteous. My last travel ticket price was high though.",Positive
"Flew on a B787-8. The aircraft was of course super-good, especially on the Business Class, on which me and my wife were travelling. Very comfortable flight with sleeperette seats almost a full 180Â° recline, superb aircontioning, beautiful lighting. The on- board service could be better-- it's not as sophisticated as other airlines. The food is ok with enough choices. The departure & arrival was punctual and the ride smooth and nice, professionally handled by the flight crew. Give them some more time and Biman airlines will be good.",Positive
"In absence of Jet Airways, I flew to Delhi and then took Biman Bangladesh Airlines. Flight was little old. Staff was very hospitable. No inflight entertainment to pass time. Food was nice.Not a great option to fly but not bad too given the choices.",Mixed
Terrible. Food was below average on the plane. Donâ€™t ever use this airline. The hotel they booked for our transit in Dhaka was absolutely filthy and had bugs and flies in the bedrooms. Couldnt sleep at all due to how filthy it was.,Negative
"Bangladesh BIMAN flight from Dhaka to Sylhet,timing was good flight was smooth the snacks they served was very tasty.",Positive
"Good homely Airline you feel home all the crew members are friendly the service is good,the meal they serve is up to our taste.",Positive
"I fly to Dhaka in a small plane, 3-3 seat.really congested with all men passengers.discomforting as I'm travelling with 2 kids. The crew was also having their hands full. Flying back to kuala Lumpur was a different experience altogether. The flight was big 3-4-3 seats. All passengers are mix with families and women. The crews are professional and warm.it was a nice experience.",Positive
Very good services. Price is very reasonable. Chair can be totally flat for comfortable. Air stewardess are helpful You could most amenities like from other airlines.,Positive
"I took biman bangladesh for thailand. Flight was scheduled and departed at right time. In flight food, drinks were awsome. Hot food and tea/ coffee were served. It was a new Boeing dreamliner-787 biman bought. Economy class leg space is good too. Overall a great experience.",Positive
"They need to improve a lot. Though this is one of the best airlines of Bangladesh, still it must learn some antiques from other international airlines. Flights are quite comfortable and maintaining the local hospitality.",Mixed
"I was flying on 20th October, left on time, old plane but clean.Very helpful staff, courteous and careful about the comfort of the passengers.",Positive
"Despite leaving home 6 hours before check in closed, my 2 hour journey took 4 hours due to sudden and severe snowfall. Got to check in with 30 minutes to spare, but wasnt allowed to join the queue as the number of people waiting already meant they would breach check in closure times (apparently), even though the flight was delayed by 3 hours BECAUSE of the weather!!!!Was advised that if the Biman office called and cleared me to board, they'd let me check in. My agent got Biman office to call and the person who received the call then checked my ticket and boarding pass, but did nothing else. Before I knew it, they'd cleared out the check in area and I was left with no choice but to book a hotel and pay for new tickets for the next day.Typical of a backwards country airline, they conveniently have no desk at LHR for people to make enquiries or complaints. When I eventually travelled out the next day, the flight was delayed by about 3 hours due to bad weather. Again, no Biman staff at LHR to provide food or drink vouchers like other reputable airlines do. I therefore booked into a lounge as the airport was packed out, but they never refunded me for that expense when the provision of food and drinks for a 3+ hour delay is technically their responsibility.The flight itself was relatively calm. In flight movies were old and headphone ports didn't work. Food definitely needs to improve. Staff on the plane were very nice though and their attention to customer needs was pretty good too. That's the ONLY positive part of this whole ordeal.Came back to UK at the end of Jan and despite several emails to Biman with details of what happened, their poor service at the airport etc and it resulting in me being forced to buy a new ticket, they've NEVER responded. I even sent letters to their head office in Bangladesh, but still nothing. After 6 months of chasing them for a response, I finally gave up and will NEVER fly with them again.",Negative
"Dhaka to Jessore flight was on time and and was good. However on our way back the flight was delayed two times for total of 2.5hrs. They provide light snacks at the plane ( water, dry cake and chicken pastry) which is a plus point given the duration of the flight is only 20mins.",Positive
Biman airlines is the worst it was so bad the food took forever and when it came the food wasn't even cooked so i didn't eat it,Negative
It was a Boeing 737-800 narrow body jet. Flight was just on time. take off was perfect and the cabin crews were very cordial. the flight catering was perfect for me and I guess travelers from all over the world would like it. very much professional attitude. last but not the least the landing of Biman Pilots just simply amazing!!! they r the best in landing .,Positive
"I have flown with Biman for Nepal after 25 years. I was really scared by reviews but the experience was unexpectedly great! I am a nervous flyer so I tend to notice every single little thing. It was on time, no delay. The flight was very smooth, no rough take off or landing whatsoever. The pilot was really skilled. Food was not upto the mark but oh well...it was a very short flight so I can forgive that. The crews were polite. The interior was really nice (everything was jamdani printed which definitely shows our heritage). Overall, very satisfied <3 ",Positive
"you need bring your own sandwich. they will give you less food. while other airlines provide food 3 times, they provide twice only",Negative
Biman Bangladesh Airline good to travel. I feel home when I travel in Biman.the service is smooth.The food they serve is also good.,Positive
"Worst airline food I have ever eaten, Biman Airways should consider just serving some sandwiches on this sector, cause the food is inedible, tasteless, oily with no flavour what so every, most passengers left all or most of thier food untouched, surely someone is checking this rubbish they serve? ",Negative
I have been flying biman since itâ€™s started direct flight to sylhet I must say the service have been poor but this year I have traveled 5 times only last few times I have noticed an improvement so congratulations My flight Saturday 19th October 2019 the entertainment screen in the entire plane wasnâ€™t working at all But the captain have been very apologetic which is surprising so keep it up,Positive
First of all perfect timing which is now reflect a better condition and professionalism.Flight environment was improved,Positive
"It is easy to find a lot of less than complimentary reviews of Biman Bangladesh in the internet so on this, my first experience with them, I would be lying if I said I had no concerns. However, the flight to Chittagong was a fairly new 737 with a Business Class section and on the way back a fairly new Bombardier turboprop. Both very clean on the inside and no dramas at all on either flight. Granted, in flight service was basic but it is less than 1 hour flight so no issue there. I would be fine flying again with Biman and keep in mind that they are safety approved for flights in and out of EU airspace.",Positive
"First time took Biman to London on a 777-300ER. Just great connection to London. Its almost 11hrs flight, flight departs around 10.15am BST and arrives in London by 3.45pm GMT. Business class seats are comfortable and food is good. Service level has improved and crew are very well trained. Flight entertainment is not the best but it is OK. Cost is very reasonable compared to other airlines. Emirates, Kuwait, Gulf Air, Qatar and Turkish airlines fly via their hub to London from Dhaka and it takes much longer due to transit plus the fare is higher by 30% to 50% than Biman. So value for money and fastest connection, I would highly recommend Biman. Ground handling needs more improvement. Other than that, super service and Biman should increase its frequency to 7 days, I think there is enough demand. ",Positive
"After confirming with the airline that they operate the new Dreamliner on the route, we booked DAC-DXB in business class. This route has a 1hr technical stop in Chittagong before proceeding to Dubai. If your destination is Dubai, then you cannot get off the plane in Chittagong. I was only willing to fly this route with Biman on their new Dreamliner. Their other planes are ancient. The aircraft was indeed the 787 Dreamliner. Business class seat was full lay flat. Comfortable seats, although not comparable to business class on flagship carriers. Unfortunately 3 business class seats were occupied by snotty, screaming kids with a mother unwilling to control them and flight attendants unwilling to care. Flight attendants did even attempt to calm the kids or assist the mother.Food is barely edible. Very greasy, spongy, and chewy. Some items unidentifiable. We left most of it uneaten. Here's the real problem: Biman simply cannot keep a time schedule. We've flown them a number of times and they are ALWAYS late. Today, we departed Dhaka only 10 minutes late, which was remarkable. But then we landed in Chittagong 20 minutes late. By the time we left Chittagong we were 2 hours late. By the time we landed in Dubai we were 2.5 hrs late. We had a connecting flight on another airline, which we missed, and forced to pay rebooking fee for that airline. We had to wait for the next flight so we lost a night's sleep which defeated the purpose of buying the Biman business class seat in the first place. Biman customer service is terrible. As we got further and further behind schedule, there were no apologies, no explanation. There is no alcohol on Biman, even in international business class.The price was right for this business class product, but the persistent tardiness of Biman is a huge deterrent. In the end we lost time, lost sleep, lost money, and arrived frustrated. I don't recommend Biman.",Negative
"Its boeing 737 series plane , very shot trip 30 min only but seat are compatable. over all score is good.",Positive
"This my first time went to dhaka, i used this flight that i believe the this plane is good flight as i was thingking. I do not why i chosen this air plane. But honestly their service was quite good. Thank youRegards",Positive
"They canceled my flight a week before flying. I had a domestic Biman flight in Bangladesh which I couldn't take as a consequence. Despite the Kathmandu Biman guy saying switching flights would be OK, and despite my emailing them asking for my Domestic flight to be switched to the changed day, in Bangladesh they said it was my fault I had missed the flight. They didn't care that Biman had canceled the international flight. As far as they were concerned they are two separate organisations.",Negative
"Overall had a very good experience with biman on both legs. I will go point wise and will be easier to comprehend. 1. We were lucky to get the brand new dreamliner. The business class configuration was 2-2-2 so everyone had aisle access.2. Check in was fast and quick. We were given the fast track card to use at lhr. We used EBL lounge at Dhk airport but wife tried Bimans Muslin lounge. Food was good and mainly local. 3. Boarding was done on time and we took our seats. Was super comfortable and fully flat bed with plenty of leg space, big screen tv with ok entertainment channels. 4. Onboard service was just above average. The cabin crew needs to smile more and at least dhow they are willing to go the extra mile for business class passengers. We are paying a premium and hence expect premium service. 5. Biman doesn't serve alcohol but enroute from LHR-DAC you can huy the mini bottles mainly whiskey, gin, vodka. 6. Food was good but their second mesl was below par. Why serve fried items when it just gets all soggy? See pic pls. Their local meals were very good. 7. Their cheeseboard platter was average. Should have a variety and with premium crackers.8. Toilet was a bit too small for business class cabin.9. LHR to DAC was comfortable and we had a good sleep. I was really hungry and literally requested a second meal and was given.10. Reached London on time- however the taxing is a really far away corner and we walked 20 min to go to immigration.Overall had a good experience with Biman. Very comfortable journey and more so because its a direct 10 hr approx flight. Just a few issues ehich should be looked into.",Positive
"For the first time, I used this airline and not satisfied at all. The flight delayed and they consistently provided wrong information about the flight. Though it was said to go to the counter 30 minutes prior to departure, but they closed their counter 40 minutes earlier. However, the take-off was fine or smooth but the landing was horrible. Cleanliness is also a concern. I will think twice to use this airline in future.",Negative
It was a weeklong business trip & few scope we made between for sight seeing. On both trip the service from Biman was remarkable. I am recommending the airlines,Positive
We travelled in a Dash 8 aircraft with huge noise. I got a window side seat & the space was very congested to get a pleasant journey. Authority should work on the sound issue to ensure customers satisfaction.,Mixed
"Previously they had old fashioned planes for shorter flights. This one is updated with good seats interior, multimedia and food.",Positive
"Planes have gotten better and the monitors. My previous visits involved broken monitors and ripped up seats.Corrupt airport staff on my way back to the U.K, who were trying to get bribe money off me.Peoples luggage are being cut into and possessions stolen also.",Negative
A terrible airline that lacks organisation and customer service. My dad's flight was delayed by 5 hours. They only offered him and others 15 pound for meal in side the airport. When taking this further with Biman london they kept on passing the buck to someone else every time I emailed of phoned. A terrible airline and must avoid.,Negative
"Review of Biman Business Class DAC-KUL. I've flown and reviewed Biman a number of times over the last 3 years. It has not improved... in fact, I think it has gotten worse. If Business is this bad, imagine Economy. Here's my notes from the flight:â€¢ The bus took us out to the plane, but the the plane wasn't ready, so they dumped all passengers on the curb at the foot of the stairs to the plane, and we all stood there for a good 20 minutes outside with absolutely no information from any staff. Unsafe, unprofessional, disrespectful. (see pic)â€¢ Departed 1 hr late.â€¢ Food in lounge inedible, greasy, disgustingâ€¢ Strange box in my seat area on the flood upon boarding, no attempt by crew to move it. I had to kick it out of my seating area. Just strange, very disrespectful. (see pic).â€¢ No alcohol, even in business class.â€¢ Seat broken switch. â€¢ They use the overhead bins over business class row 3 to store a ton of stuff that you'd think belong in the galley. So, not even enough room for a backpack above my business class seat.â€¢ So she spent a commutative hour of the flight rummaging in the bin over my head. Distracting, annoying, and disrespectful to the customer.â€¢ Flight attendant had to use a butter knife to release the remote from the arm rest.â€¢ When we ordered dinner, flight attendant seemed extremely perplexed by our decisions. Like it was also the first time she had ever seen the menu. â€¢ Flight attendant used her gloved hand to wipe her runny nose immediately before serving dinner. â€¢ Threw the napkins at us. â€¢ Took a full 1.5 hrs after take off before dinner served in business class. I continue to fly Biman because they offer day-time flights and a cheaper ticket, especially in Business Class. But seriously this has got to be one of the worse airlines in the entire world.",Negative
"We had a terrible flight experience with them. At the airport, the officials were confused about the charge for extra weight. They made us wait almost an hour to clear the check-in. The officials had a lack of knowledge about our transit. On the plane the seats as too congested. Cabin crew were very much neglecting. We tried to call several times but no one appeared. They are only available during the mealtime. We will never ever fly with them",Negative
New and safe planes. Meal is good. Mostly on time. Overall good service. Could improve on entertainment a little. But all in all 5*.,Positive
Flew business class from Bkk to Dac and was absolutely worth it given the price. Check in was fast with 45kgs allowed for the 2 hour flight. Fast track enabled quick security check and immigration. I was given access to the miracle lounge near the gate which was decent and comfortable. Biman uses the old 737 800 which has the old type business class seats. No tv though but really didn't matter for the 2 hour flight. Only thing missing was the foot rest which would have made it perfect. Seats were spacious and comfortable with sufficient recline. Onboard service was warm and friendly and courteous. Food was good and filling and menu had good options. On arrival seperate cars were available for business class passengers which enabled us to reach immigration faster. Would definitely recommend biman's business class more so due to the convenient timing b/c a quick nap between 4pm to 6 pm is perfect for this type of cabin. Thank you.,Positive
"Being a frequent traveller I mostly fly Emirates, Saudia, Qatar, gulf air. Had a really bad experience with Biman a while ago so decided to fly with Biman business class this time. Booked online and no problem at all. Check in superb the airport lounge was nice and clean. Lovely London Sylhet flight with superb service. Return flight was not brilliant as I had to come to Sylhet airport at 3 am for the 10 am flight from Dhaka. The Maslin lounge wasnâ€™t brilliant in my view, the food wasnâ€™t fresh. Slept all the way to Heathrow. Woke up and almost could see the London Eye. Much improved and was really nice crew. Hoping to go soon again and hope to see the same service at least if not better!!",Positive
If you doesn't have any money problem. Biman airways is only for low budget flights only.Have a great flight :),Mixed
"Flew with this aircraft from Dhaka to Singapore and return. Food quality was not good at all. The LCD in front of me and many others were not working. Cabin crew also could not help. Staff were helpful. During return flight, check in experience was horrible. Long queue and they could not use the automatic check in system of Singapore. Bad smell from the rear lavatory was obnoxious. They must take care of all cleanliness aspects.",Negative
"All staff were friendly,specially thanks to Joya,i think she is from Bangladesh,she is very polite and focus orientated for the passenger request as well as i forgot another guy name he haven been working almost more than 15 year same company ,he is also very friendly,thanks a lot for all the team,next i will again travel same airlines .",Positive
I've traveled most of the airline in South Asia except PIA. Among full service airlines I strongly recommend this airline. Pros:Service is good. Food is delicious if you like oriental taste.Very good on time record except during Hazz flight.Con:Destinations are limited.No online check-in option,Positive
"What a rubbish airline, fine it was 7 hours delays but for what reason They donâ€™t know what customer service is Very rude, If u ask any they keep say â€œgo and ask the other guyâ€ thatâ€™s what they all say ",Negative
"There is certainly no value for money on the ticket for this route, but all alternatives are so much less convenient if you have limited time for your travels. As for flight itself, plane is simple - propeller one, but comfortable enough. Food is ok and everything else is pretty standard.",Mixed
"I have used Biman before but not long haul. I chose this flight over other carriers because itâ€™s the only non-stop flight, itâ€™s baggage allowance was better and it was cheaper. I think the problem is that because of this, they can fill a huge plane every time so they donâ€™t have to try too hard on customer service. I was suspicious when our departure time changed to an hour earlier but arrival time didnâ€™t. When we arrived nice and early to check in, there was a queue but no staff and after 30 mins of waiting the departure time changed back 45mins later. Eventually we got checked in but had basically arrived an hour too early and had to hang around. When we went to the gate it was very full so we stood expecting that boarding would soon start. After an hour I went back out to the desk to see what the delay was and was told that the captain had not arrived!When the captain finally showed up and boarding began, a single door was opened and everyone barged through with no staff in sight. So we were told to come an hour early and ended up flying an hour and a half late. There was no apology or evening mention of delay and at no time was there any communication from airline or airport staff. It is an 11 hour flight and there are 2 very basic meals. By midday I had been up 7 hours with nothing but an airport coffee in my stomach and I was given a cup of tepid water. At sometime between the 2 meals I was staring at my broken screen and I was in need of a snack. No staff were in the aisles so I went to the galley. There were self service soft drinks so I got the tepid water and asked if there were snacks. I was given some very dry cake which I was told was â€˜absolutely freeâ€™. No, they havenâ€™t quite got the international carrier concept but then they donâ€™t care. ",Negative
It was my first time to fly with biman bangla...i usually was taking spicejet indigo Airindia jetairways airasia..but one thing i must say it was(biman bangla) really and really too good and comfortable as compared to other airlines...service was good...and extra legroom even in economy class to which other airlines take extra charge...Now i really wana travel again with bimaan bangla....thanku,Positive
