review,target,cleaned_review
It has WIFI on Dreamliner cabin crew are kind and friendly food was delicious Please fly BIMAN on Dreamliner At lhr to dad they will kind you,2,wifi dreamliner cabin crew kind friendly food delicious please fly biman dreamliner lhr dad kind
Actually i flied with BG several time . It always fascinated me becoz the pilot skill was too much .. i even flied with other star like airlines but flying level of BG made me feel like wow . Felt safe smooth and super exciting ..,2,actually flied bg several time always fascinated becoz pilot skill much even flied star like airline flying level bg made feel like wow felt safe smooth super exciting
Really enjoyed the flight.The staff were friendly. The flights on time..a bit early I think...fantastic!,2,really enjoyed flightthe staff friendly flight timea bit early thinkfantastic
"I was just wondering whats the point of submitting feedback to Biman and its authority since this may not go any further and on the other hand do they even do anything with the feedback that they receive. Despite all my views and thoughts I still believe it is my duty to share my disappointment and disturbance that it caused me and my family through this recent flight/journey with Biman through this feedback process. Worse come to worse I will raise this with Aviation Authority if needed. I would like Biman management to understand that passengers won't waste time and effort without a valid reason to do so, surely everyone has better things to do in life. It upsets me and loads of others like myself is that you get treated like animals from your own people despite spending the extortionate amount of money to travel with Biman, clearly Biman being monopoly player serving direct flight to Sylhet and taking advantage of all Sylhety travelers. Coming to my main feedback from my recent flight from Sylhet to Dhaka and then Dhaka to London Heathrow on 16/01/20 and then on 17/01/20. As usual the flight was delayed first by half an hour then by 1 hour and 25 minutes from Sylhet to Dhaka flight. From Dhaka airport to the hotel for overnight stay was unbearable experience. I had to wait outside the airport for almost an hour with my kids for bus/car where we were bitten by mosquitoes, dehydrated, hungry and really vulnerable. Where hotel representative kept on saying to us that the bus will be here within next 10 minutes even though we had to wait for almost an hour. But all of us were thinking that some how we need to get to the hotel where we all have a good rest and freshenup  Eventually, when we reached the hotel ""Hotel Platinum, in Uttara"" unfolded our biggest surprise. The room that was allocated to 6 of us seemed like staff quarters, dirty, blankets had blood spots on and a smelly bathroom. My kids could not sleep because of bed bugs and mosquitoes (I have taken pictures of all as evidence). As we were all hungry, first thing I've asked is that when would the dinner be served and if I can see the owner or the hotel manager. This is to raise my concern which I did later on  In terms of dinners/servings, this was very limited amount of food, only rice, chicken curry, dall and vegetable bhaji. Clearly not a lot on offer and clearly it felt that we were forcing the attendants for after meal tea refreshment which came at a cost of 50 Taka for 4 cups On the day flight we have been escorted out of the room 2 hours early and had to wait in the lobby Flight attendants from Dhaka to London Heathrow were rude and felt like that they do not have any manners, clearly treating us like a mole. One point when they were serving drinks where I had 2 of my kids were sitting beside me where I was asking them what drink were they having because they taking latterly more 20-25 seconds but we were told to hurry up and this point I said WHAT! and the respond I get was that they have other passengers to serve which I totally get but for GOD SAKE! They are kids. I'm sure they won't treat their kids like that. On the other hand they don't even ask what we were going to have as a meal instead they were forcing chicken curry and rice which we did not prefer. Clearly their seems to be a language barrier which I get but they do not pose any manners let alone they would have customer service knowledge In the best interest of Biman's success and reputation, hope something is being done",1,wondering whats point submitting feedback biman authority since may go hand even anything feedback receive despite view thought still believe duty share disappointment disturbance caused family recent flightjourney biman feedback process worse come worse raise aviation authority needed would like biman management understand passenger wont waste time effort without valid reason surely everyone better thing life upset load others like get treated like animal people despite spending extortionate amount money travel biman clearly biman monopoly player serving direct flight sylhet taking advantage sylhety traveler coming main feedback recent flight sylhet dhaka dhaka london heathrow usual flight delayed first half hour hour minute sylhet dhaka flight dhaka airport hotel overnight stay unbearable experience wait outside airport almost hour kid buscar bitten mosquito dehydrated hungry really vulnerable hotel representative kept saying u bus within next minute even though wait almost hour u thinking need get hotel good rest freshenup eventually reached hotel hotel platinum uttara unfolded biggest surprise room allocated u seemed like staff quarter dirty blanket blood spot smelly bathroom kid could sleep bed bug mosquito taken picture evidence hungry first thing ive asked would dinner served see owner hotel manager raise concern later term dinnersservings limited amount food rice chicken curry dall vegetable bhaji clearly lot offer clearly felt forcing attendant meal tea refreshment came cost taka cup day flight escorted room hour early wait lobby flight attendant dhaka london heathrow rude felt like manner clearly treating u like mole one point serving drink kid sitting beside asking drink taking latterly second told hurry point said respond get passenger serve totally get god sake kid im sure wont treat kid like hand dont even ask going meal instead forcing chicken curry rice prefer clearly seems language barrier get pose manner let alone would customer service knowledge best interest bimans success reputation hope something done
"Very poor service. I wouldnâ€™t recommend Bangladesh Biman to anyone after what happened to us. Was made to sit in our seats with someoneâ€™s poo in the aisle covered with a newspaper sheet as the staff werenâ€™t mothered you clean it. This then spread along the entire aisle as people were stepping on it and moving it everywhere with their feet. Plus when you press the bell for them to come, they ignore it and you have to get up and go and get them. Disgusting service! Not forgetting to mention the hotel that they made us stay at in Dhaka as our flight was the next day. The hotel called White Rose was dirty, hair all over the bedcovers, floor looked like it hadnâ€™t been sweeped for days and the fan switch wouldnâ€™t work so we were stuck with our three children including our 6 month baby with a fan that went at full speed and wouldnâ€™t turn down. When we tried to turn it off, the mosquitoes were biting the heâ€™ll out of us. They only spray aerosol so they didnâ€™t even have solutions for this other than that!",1,poor service wouldnt recommend bangladesh biman anyone happened u made sit seat someone poo aisle covered newspaper sheet staff werent mothered clean spread along entire aisle people stepping moving everywhere foot plus press bell come ignore get go get disgusting service forgetting mention hotel made u stay dhaka flight next day hotel called white rose dirty hair bedcover floor looked like hadnt sweeped day fan switch wouldnt work stuck three child including month baby fan went full speed wouldnt turn tried turn mosquito biting hell u spray aerosol didnt even solution
Excellent service. Crew services are very helpful. Fare is very reasonable. Departed in time and reached its destination in over 10 hours.,2,excellent service crew service helpful fare reasonable departed time reached destination hour
The flight is long at around 10 hours and there always seems to be a delay on the return leg (triangular flight coming via Dhaka). The flight attendants are generally helpful and polite and the standard of the planes are reasonable. Would be ideal if there was a direct flight from Newcastle for passengers traveling from the north east of England. Overall not a bad experience and would probably choose this flight option again.,2,flight long around hour always seems delay return leg triangular flight coming via dhaka flight attendant generally helpful polite standard plane reasonable would ideal direct flight newcastle passenger traveling north east england overall bad experience would probably choose flight option
"One of the worst in flight service.Very unfriendly crews,no smile,no greetings.Overall very poor service.Inside was full of mosquitos.",1,one worst flight servicevery unfriendly crewsno smileno greetingsoverall poor serviceinside full mosquito
The whole experience with Biman on their new service from Manchester direct to Sylhet was exceptional to say the least. I was very pleased and impressed with the cabin crew who delivered a great service throughout the entire journey. The aircraft was new and the journey time of 9 hours was bearable and enjoyable. Great food was served with a chicken curry once we were settled in. We had breakfast just before we landed. This is a great opportunity for Biman to impress which will keep people flying this convenient direct route to Sylhet for us who live in the north. Keep it up Biman!,2,whole experience biman new service manchester direct sylhet exceptional say least pleased impressed cabin crew delivered great service throughout entire journey aircraft new journey time hour bearable enjoyable great food served chicken curry settled breakfast landed great opportunity biman impress keep people flying convenient direct route sylhet u live north keep biman
Excellent service very comfortable all round was very enjoyable will travel with Biman Bangladesh airlines again!,2,excellent service comfortable round enjoyable travel biman bangladesh airline
"I regularly fly business class on Emirates, BA, Etihad and Turkish AirlinesThis was every bit as good. The plane was probably the newest plane Iâ€™ve ever been on. Brand new 787. I couldnâ€™t find a mark or a scuff. The seat was full lie flat and the layout was better than my recent flight with BA from LHR to Islamabad. The screen size was good. The food from LHR was amongst the best Iâ€™ve had. Succulent lamb shank with boiled potatoes. Just perfect. Return flight food was far less impressive and they have a problem with mosquitos on the return flight (same problem last year)Considering where Biman ranks in international airlines, I couldnâ€™t really fault it except to say their on board entertainment is poor. The choice of films is very limited although I did find one or two decent ones in the end.",2,regularly fly business class emirate ba etihad turkish airlinesthis every bit good plane probably newest plane ive ever brand new couldnt find mark scuff seat full lie flat layout better recent flight ba lhr islamabad screen size good food lhr amongst best ive succulent lamb shank boiled potato perfect return flight food far less impressive problem mosquito return flight problem last yearconsidering biman rank international airline couldnt really fault except say board entertainment poor choice film limited although find one two decent one end
This airlines does not maintain time. Even if they change flight times they never inform passengers. On the other hand pilots are extremely skilled. You wil hardly feel an aircraft landing!,0,airline maintain time even change flight time never inform passenger hand pilot extremely skilled wil hardly feel aircraft landing
"I went Bangladesh for 1 month from London Heathrow to Sylhet. One thing Biman needs to improve on is to have more direct flights especially from Sylhet to London Heathrow because I had to go to Dhaka and stay there overnight at a disgusting hotel. Anyways I survived there and then it was my long-haul flight from Dhaka to London Heathrow (11 hours). We took the new Biman 787-9 which was really good. The seats were very comfortable and the windows now have tints instead of the previous window shades. One problem was that because it was a new plane, they didnâ€™t set the IFE screen which meant there was no flight entertainment which was was a shame since it was a morning flight and everyone was awake. However they still operate a flight live map which will satisfy me but definitely not the kids. Our plane was delayed by 2 hours which i don't really mind but however the kids... I landed in London in the will of Allah but I still did enjoy the flight. If they set everything up then the flight would've been a much more pleasant experience.",0,went bangladesh month london heathrow sylhet one thing biman need improve direct flight especially sylhet london heathrow go dhaka stay overnight disgusting hotel anyways survived longhaul flight dhaka london heathrow hour took new biman really good seat comfortable window tint instead previous window shade one problem new plane didnt set ife screen meant flight entertainment shame since morning flight everyone awake however still operate flight live map satisfy definitely kid plane delayed hour dont really mind however kid landed london allah still enjoy flight set everything flight wouldve much pleasant experience
"I have to say the last time i travelled with Biman was in 2004 so after 16 years, I was brave enough to try again. Travelled business class on one of the new aircrafts and it was just an amazing experience. Very comfy, clean, service was excellent and the food was delicious. The entertainment package could have been better as itâ€™s had old and small selection of movies. No WiFi on board.I heard the economy seats are very cramped, food was ok and the entertainment system wasnâ€™t working but some passengers did get iPads to use.",2,say last time travelled biman year brave enough try travelled business class one new aircraft amazing experience comfy clean service excellent food delicious entertainment package could better old small selection movie wifi boardi heard economy seat cramped food ok entertainment system wasnt working passenger get ipads use
"Best connection to London from Dhaka. Biman just introduced the brand new 787-9 on this route. Excellent business class seats, full bed with good screen size. Individual seating configuration 1-2-1 in business class. It has also 21 premium economy class, quite good given the price. Overall service was excellent. Highly recommend to fly Biman........ ",2,best connection london dhaka biman introduced brand new route excellent business class seat full bed good screen size individual seating configuration business class also premium economy class quite good given price overall service excellent highly recommend fly biman
Traveled in Biman after long. Experience was better than I expected. Unfortunately I flew in one of the leased air crafts of Biman with little leg space and no in flight entertainment. Food was tasty and crew service was good.,0,traveled biman long experience better expected unfortunately flew one leased air craft biman little leg space flight entertainment food tasty crew service good
"I traveled several times in recent years using Biman and almost each time received good services. Good food, good seating arrangements and comparatively a better ground services. Staffs on board are just OK though. Ground staffs should be more courteous. My last travel ticket price was high though.",2,traveled several time recent year using biman almost time received good service good food good seating arrangement comparatively better ground service staff board ok though ground staff courteous last travel ticket price high though
"Flew on a B787-8. The aircraft was of course super-good, especially on the Business Class, on which me and my wife were travelling. Very comfortable flight with sleeperette seats almost a full 180Â° recline, superb aircontioning, beautiful lighting. The on- board service could be better-- it's not as sophisticated as other airlines. The food is ok with enough choices. The departure & arrival was punctual and the ride smooth and nice, professionally handled by the flight crew. Give them some more time and Biman airlines will be good.",2,flew b aircraft course supergood especially business class wife travelling comfortable flight sleeperette seat almost full recline superb aircontioning beautiful lighting board service could better sophisticated airline food ok enough choice departure arrival punctual ride smooth nice professionally handled flight crew give time biman airline good
"In absence of Jet Airways, I flew to Delhi and then took Biman Bangladesh Airlines. Flight was little old. Staff was very hospitable. No inflight entertainment to pass time. Food was nice.Not a great option to fly but not bad too given the choices.",0,absence jet airway flew delhi took biman bangladesh airline flight little old staff hospitable inflight entertainment pas time food nicenot great option fly bad given choice
Terrible. Food was below average on the plane. Donâ€™t ever use this airline. The hotel they booked for our transit in Dhaka was absolutely filthy and had bugs and flies in the bedrooms. Couldnt sleep at all due to how filthy it was.,1,terrible food average plane dont ever use airline hotel booked transit dhaka absolutely filthy bug fly bedroom couldnt sleep due filthy
"Bangladesh BIMAN flight from Dhaka to Sylhet,timing was good flight was smooth the snacks they served was very tasty.",2,bangladesh biman flight dhaka sylhettiming good flight smooth snack served tasty
"Good homely Airline you feel home all the crew members are friendly the service is good,the meal they serve is up to our taste.",2,good homely airline feel home crew member friendly service goodthe meal serve taste
"I fly to Dhaka in a small plane, 3-3 seat.really congested with all men passengers.discomforting as I'm travelling with 2 kids. The crew was also having their hands full. Flying back to kuala Lumpur was a different experience altogether. The flight was big 3-4-3 seats. All passengers are mix with families and women. The crews are professional and warm.it was a nice experience.",2,fly dhaka small plane seatreally congested men passengersdiscomforting im travelling kid crew also hand full flying back kuala lumpur different experience altogether flight big seat passenger mix family woman crew professional warmit nice experience
Very good services. Price is very reasonable. Chair can be totally flat for comfortable. Air stewardess are helpful You could most amenities like from other airlines.,2,good service price reasonable chair totally flat comfortable air stewardess helpful could amenity like airline
"I took biman bangladesh for thailand. Flight was scheduled and departed at right time. In flight food, drinks were awsome. Hot food and tea/ coffee were served. It was a new Boeing dreamliner-787 biman bought. Economy class leg space is good too. Overall a great experience.",2,took biman bangladesh thailand flight scheduled departed right time flight food drink awsome hot food tea coffee served new boeing dreamliner biman bought economy class leg space good overall great experience
"They need to improve a lot. Though this is one of the best airlines of Bangladesh, still it must learn some antiques from other international airlines. Flights are quite comfortable and maintaining the local hospitality.",0,need improve lot though one best airline bangladesh still must learn antique international airline flight quite comfortable maintaining local hospitality
"I was flying on 20th October, left on time, old plane but clean.Very helpful staff, courteous and careful about the comfort of the passengers.",2,flying th october left time old plane cleanvery helpful staff courteous careful comfort passenger
"Despite leaving home 6 hours before check in closed, my 2 hour journey took 4 hours due to sudden and severe snowfall. Got to check in with 30 minutes to spare, but wasnt allowed to join the queue as the number of people waiting already meant they would breach check in closure times (apparently), even though the flight was delayed by 3 hours BECAUSE of the weather!!!!Was advised that if the Biman office called and cleared me to board, they'd let me check in. My agent got Biman office to call and the person who received the call then checked my ticket and boarding pass, but did nothing else. Before I knew it, they'd cleared out the check in area and I was left with no choice but to book a hotel and pay for new tickets for the next day.Typical of a backwards country airline, they conveniently have no desk at LHR for people to make enquiries or complaints. When I eventually travelled out the next day, the flight was delayed by about 3 hours due to bad weather. Again, no Biman staff at LHR to provide food or drink vouchers like other reputable airlines do. I therefore booked into a lounge as the airport was packed out, but they never refunded me for that expense when the provision of food and drinks for a 3+ hour delay is technically their responsibility.The flight itself was relatively calm. In flight movies were old and headphone ports didn't work. Food definitely needs to improve. Staff on the plane were very nice though and their attention to customer needs was pretty good too. That's the ONLY positive part of this whole ordeal.Came back to UK at the end of Jan and despite several emails to Biman with details of what happened, their poor service at the airport etc and it resulting in me being forced to buy a new ticket, they've NEVER responded. I even sent letters to their head office in Bangladesh, but still nothing. After 6 months of chasing them for a response, I finally gave up and will NEVER fly with them again.",1,despite leaving home hour check closed hour journey took hour due sudden severe snowfall got check minute spare wasnt allowed join queue number people waiting already meant would breach check closure time apparently even though flight delayed hour weatherwas advised biman office called cleared board theyd let check agent got biman office call person received call checked ticket boarding pas nothing else knew theyd cleared check area left choice book hotel pay new ticket next daytypical backwards country airline conveniently desk lhr people make enquiry complaint eventually travelled next day flight delayed hour due bad weather biman staff lhr provide food drink voucher like reputable airline therefore booked lounge airport packed never refunded expense provision food drink hour delay technically responsibilitythe flight relatively calm flight movie old headphone port didnt work food definitely need improve staff plane nice though attention customer need pretty good thats positive part whole ordealcame back uk end jan despite several email biman detail happened poor service airport etc resulting forced buy new ticket theyve never responded even sent letter head office bangladesh still nothing month chasing response finally gave never fly
"Dhaka to Jessore flight was on time and and was good. However on our way back the flight was delayed two times for total of 2.5hrs. They provide light snacks at the plane ( water, dry cake and chicken pastry) which is a plus point given the duration of the flight is only 20mins.",2,dhaka jessore flight time good however way back flight delayed two time total hr provide light snack plane water dry cake chicken pastry plus point given duration flight min
Biman airlines is the worst it was so bad the food took forever and when it came the food wasn't even cooked so i didn't eat it,1,biman airline worst bad food took forever came food wasnt even cooked didnt eat
It was a Boeing 737-800 narrow body jet. Flight was just on time. take off was perfect and the cabin crews were very cordial. the flight catering was perfect for me and I guess travelers from all over the world would like it. very much professional attitude. last but not the least the landing of Biman Pilots just simply amazing!!! they r the best in landing .,2,boeing narrow body jet flight time take perfect cabin crew cordial flight catering perfect guess traveler world would like much professional attitude last least landing biman pilot simply amazing r best landing
"I have flown with Biman for Nepal after 25 years. I was really scared by reviews but the experience was unexpectedly great! I am a nervous flyer so I tend to notice every single little thing. It was on time, no delay. The flight was very smooth, no rough take off or landing whatsoever. The pilot was really skilled. Food was not upto the mark but oh well...it was a very short flight so I can forgive that. The crews were polite. The interior was really nice (everything was jamdani printed which definitely shows our heritage). Overall, very satisfied <3 ",2,flown biman nepal year really scared review experience unexpectedly great nervous flyer tend notice every single little thing time delay flight smooth rough take landing whatsoever pilot really skilled food upto mark oh wellit short flight forgive crew polite interior really nice everything jamdani printed definitely show heritage overall satisfied
"you need bring your own sandwich. they will give you less food. while other airlines provide food 3 times, they provide twice only",1,need bring sandwich give less food airline provide food time provide twice
Biman Bangladesh Airline good to travel. I feel home when I travel in Biman.the service is smooth.The food they serve is also good.,2,biman bangladesh airline good travel feel home travel bimanthe service smooththe food serve also good
"Worst airline food I have ever eaten, Biman Airways should consider just serving some sandwiches on this sector, cause the food is inedible, tasteless, oily with no flavour what so every, most passengers left all or most of thier food untouched, surely someone is checking this rubbish they serve? ",1,worst airline food ever eaten biman airway consider serving sandwich sector cause food inedible tasteless oily flavour every passenger left thier food untouched surely someone checking rubbish serve
I have been flying biman since itâ€™s started direct flight to sylhet I must say the service have been poor but this year I have traveled 5 times only last few times I have noticed an improvement so congratulations My flight Saturday 19th October 2019 the entertainment screen in the entire plane wasnâ€™t working at all But the captain have been very apologetic which is surprising so keep it up,2,flying biman since started direct flight sylhet must say service poor year traveled time last time noticed improvement congratulation flight saturday th october entertainment screen entire plane wasnt working captain apologetic surprising keep
First of all perfect timing which is now reflect a better condition and professionalism.Flight environment was improved,2,first perfect timing reflect better condition professionalismflight environment improved
